Cst_Cnt,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Sta_ID,Quarter,Sta_Code,Distance,Date,Year,Month,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,St_Line,Ac_Line,Rpt_Sta,St_Station,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
32260,2010-01-13-C-32NM,201001,20100107670510,07670510,20-1001NM-MX-031-1503-07670510,076.7 051.0,1,ST,-14.55100,01/31/2010,2010,1,40209,31,12/30/1899 15:03:00,35.025000,35,1.500000,N,-120.925000,-120,55.500000,W,76.7,76.700000,76.700000,51.0,51.000000,51.100000,250,9,,RV NEW HORIZON,32NM,MX,73,722,,76.7 51.0,3101,1001,62.80000,,,,,,,31,3,5,28,7,1013.400,13.80000,11.00000,1,7,4,6
32261,2010-01-13-C-32NM,201001,20100107670600,07670600,20-1001NM-MX-031-0514-07670600,076.7 060.0,1,ST,-50.48800,01/31/2010,2010,1,40209,31,12/30/1899 05:14:00,34.720000,34,43.200000,N,-121.553333,-121,33.200000,W,76.7,76.700000,76.700000,60.0,60.000000,60.100000,961,,,RV NEW HORIZON,32NM,MX,71,702,,76.7 60.0,3101,1001,52.90000,,,,,,,,,,29,7,1014.000,13.50000,11.90000,,,,
32262,2010-01-13-C-32NM,201001,20100107670700,07670700,20-1001NM-MX-030-2231-07670700,076.7 070.0,1,ST,-90.37000,01/30/2010,2010,1,40208,30,12/30/1899 22:31:00,34.386667,34,23.200000,N,-122.251667,-122,15.100000,W,76.7,76.700000,76.700000,70.0,70.000000,70.100000,4026,10,,RV NEW HORIZON,32NM,MX,70,692,,76.7 70.0,3101,1001,43.10000,,,,,,,32,3,7,26,14,1015.300,14.90000,12.40000,1,8,4,8
32263,2010-01-13-C-32NM,201001,20100107670800,07670800,20-1001NM-PR-030-1648-07670800,076.7 080.0,1,ST,-130.2630,01/30/2010,2010,1,40208,30,12/30/1899 16:48:00,34.050000,34,3.000000,N,-122.945000,-122,56.700000,W,76.7,76.700000,76.700000,80.0,80.000000,80.100000,4241,10,,RV NEW HORIZON,32NM,PR,69,682,,76.7 80.0,3101,1001,46.40000,276.0000,12/30/1899 12:25:00,12/30/1899 18:06:00,12/30/1899 12:25:00,12/30/1899 18:03:00,+08,32,4,9,33,4,1016.400,14.00000,11.90000,1,2,3,7
32264,2010-01-13-C-32NM,201001,20100107670900,07670900,20-1001NM-MX-030-0805-07670900,076.7 090.0,1,ST,-169.7120,01/30/2010,2010,1,40208,30,12/30/1899 08:05:00,33.720000,33,43.200000,N,-123.630000,-123,37.800000,W,76.7,76.700000,76.700000,90.0,90.000000,90.000000,3348,,,RV NEW HORIZON,32NM,MX,68,672,,76.7 90.0,3101,1001,28.70000,,,,,,,,,,27,3,1015.700,13.20000,12.00000,,,,
32265,2010-01-13-C-32NM,201001,20100107671000,07671000,20-1001NM-MX-030-0020-07671000,076.7 100.0,1,ST,-209.9500,01/30/2010,2010,1,40208,30,12/30/1899 00:20:00,33.386667,33,23.200000,N,-124.328333,-124,19.700000,W,76.7,76.700000,76.700000,100.0,100.000000,100.100000,4577,21,,RV NEW HORIZON,32NM,MX,67,662,,76.7 100.0,3101,1001,25.70000,,,,,,,28,4,8,23,9,1014.200,15.80000,13.00000,1,7,7,7
32266,2010-01-13-C-32NM,201001,20100108000505,08000505,20-1001NM-MX-028-0427-08000505,080.0 050.5,1,SCO,-0.637000,01/28/2010,2010,1,40206,28,12/30/1899 04:27:00,34.461667,34,27.700000,N,-120.486667,-120,29.200000,W,80.0,80.000000,80.000000,50.5,50.500000,50.500000,26,,,RV NEW HORIZON,32NM,MX,59,582,,80.0 50.5,3101,1001,11.80000,,,,,,,,,,23,9,1012.900,15.00000,11.90000,,,,
32267,2010-01-13-C-32NM,201001,20100108000510,08000510,20-1001NM-MX-028-0522-08000510,080.0 051.0,1,ST,-2.679000,01/28/2010,2010,1,40206,28,12/30/1899 05:22:00,34.448333,34,26.900000,N,-120.525000,-120,31.500000,W,80.0,80.000000,80.000000,51.0,51.000000,51.000000,80,,,RV NEW HORIZON,32NM,MX,60,592,,80.0 51.0,3101,1001,43.00000,,,,,,,,,,28,5,1013.700,14.50000,12.00000,,,,
32268,2010-01-13-C-32NM,201001,20100108000550,08000550,20-1001NM-MX-028-0926-08000550,080.0 055.0,1,ST,-19.13000,01/28/2010,2010,1,40206,28,12/30/1899 09:26:00,34.308333,34,18.500000,N,-120.811667,-120,48.700000,W,80.0,80.000000,80.000000,55.0,55.000000,55.200000,776,,,RV NEW HORIZON,32NM,MX,61,602,,80.0 55.0,3101,1001,28.50000,,,,,,,,,,26,15,1013.200,14.00000,12.30000,,,,
32269,2010-01-13-C-32NM,201001,20100108000600,08000600,20-1001NM-MX-028-1341-08000600,080.0 060.0,1,ST,-38.65600,01/28/2010,2010,1,40206,28,12/30/1899 13:41:00,34.151667,34,9.100000,N,-121.156667,-121,9.400000,W,80.0,80.000000,80.000000,60.0,60.000000,60.100000,1138,,,RV NEW HORIZON,32NM,MX,62,612,,80.0 60.0,3101,1001,45.70000,,,,,,,,,,27,15,1014.300,13.30000,11.90000,,,,
