Cst_Cnt,Btl_Cnt,Depth (m),T_degC,SiO3uM,PO4uM,NO2uM,NO3uM,NH3uM,LightP,Bottle Number,studyName,Latitude,Longitude,Line_x,Station_x,Line_y,Station_y,Diatom < 5um,Diatom 5-10um,Diatom 10-20um,Diatom 20-40um,Diatom > 40um,Total Diatom
31633,792786,10,12.62,7.4,0.66,0.12,5.6,0.18,,19.0,2008-01-07-C-31JD,3432,-12080,80.0,55.0,80.0,55.0,0.0,0.0,0.0,0.02,0.04,0.06
31635,792852,10,12.05,4.5,0.5,0.08,2.2,0.0,,19.0,2008-01-07-C-31JD,3382,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.02,0.23,0.0,0.25
31635,792854,30,11.71,5.4,0.61,0.15,3.9,0.04,,17.0,2008-01-07-C-31JD,3382,-12184,80.0,70.0,80.0,70.0,0.25,0.0,0.04,0.11,0.03,0.42
31635,792858,68,11.23,9.2,0.93,0.36,9.4,0.0,,13.0,2008-01-07-C-31JD,3382,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.0,0.12,0.0,0.12
31636,792882,12,13.52,2.0,0.36,0.01,0.0,0.0,,21.0,2008-01-07-C-31JD,3348,-12254,80.0,80.0,80.0,80.1,0.0,0.0,0.0,0.05,0.0,0.05
31636,792886,36,12.25,3.6,0.51,0.08,2.0,0.09,,18.0,2008-01-07-C-31JD,3348,-12254,80.0,80.0,80.0,80.1,0.0,0.0,0.0,0.05,0.09,0.14
31636,792892,81,11.33,5.9,0.73,0.17,5.6,0.06,,13.0,2008-01-07-C-31JD,3348,-12254,80.0,80.0,80.0,80.1,0.0,0.0,0.17,0.04,0.0,0.21
31638,792944,9,13.69,2.5,0.36,0.01,0.1,0.09,,19.0,2008-01-07-C-31JD,3282,-12390,80.0,100.0,80.0,99.9,0.0,0.0,0.0,0.0,0.1,0.1
31638,792948,40,13.7,2.3,0.36,0.01,0.1,0.09,,16.0,2008-01-07-C-31JD,3282,-12390,80.0,100.0,80.0,99.9,0.0,0.0,0.0,0.04,0.03,0.08
31638,792953,84,13.22,2.9,0.48,0.09,1.5,0.25,,12.0,2008-01-07-C-31JD,3282,-12390,80.0,100.0,80.0,99.9,0.01,0.0,0.13,0.42,0.11,0.67
31639,792975,10,12.77,6.9,0.69,0.14,6.0,0.1,,23.0,2008-01-07-C-31JD,3428,-12003,81.8,46.9,81.8,46.9,0.0,0.0,0.49,0.21,1.99,2.7
31639,792978,30,12.32,9.6,0.91,0.16,9.1,0.19,,21.0,2008-01-07-C-31JD,3428,-12003,81.8,46.9,81.8,46.9,0.0,0.0,0.0,0.1,0.16,0.26
31639,792984,85,9.75,26.8,1.97,0.01,25.1,0.0,,16.0,2008-01-07-C-31JD,3428,-12003,81.8,46.9,81.8,46.9,0.0,0.0,0.0,0.01,0.0,0.01
31670,793723,10,14.05,2.1,0.37,0.01,0.0,0.01,,20.0,2008-01-07-C-31JD,3319,-11838,90.0,37.0,90.0,37.0,0.0,0.0,0.0,0.25,1.63,1.88
31670,793724,16,14.04,2.2,0.37,0.03,0.0,0.01,,19.0,2008-01-07-C-31JD,3319,-11838,90.0,37.0,90.0,37.0,0.0,0.0,0.02,0.14,0.35,0.51
31670,793727,41,13.11,6.3,0.8,0.21,7.2,0.0,,16.0,2008-01-07-C-31JD,3319,-11838,90.0,37.0,90.0,37.0,0.0,0.0,0.24,0.21,0.54,0.99
31672,793787,10,14.11,2.2,0.36,0.04,0.6,0.05,,19.0,2008-01-07-C-31JD,3265,-11948,90.0,53.0,90.0,53.0,0.29,0.0,0.09,0.06,0.12,0.57
31672,793788,20,14.1,2.2,0.37,0.04,0.6,0.05,,18.0,2008-01-07-C-31JD,3265,-11948,90.0,53.0,90.0,53.0,0.03,0.03,0.43,0.1,0.39,0.98
31672,793790,40,13.95,2.5,0.41,0.08,1.2,0.13,,16.0,2008-01-07-C-31JD,3265,-11948,90.0,53.0,90.0,53.0,0.0,0.0,0.83,0.3,0.37,1.5
31674,793849,10,13.59,3.4,0.49,0.11,2.3,0.02,,19.0,2008-01-07-C-31JD,3208,-12064,90.0,70.0,90.0,70.0,0.0,0.0,0.26,1.32,0.25,1.83
31674,793851,30,13.56,3.5,0.5,0.11,2.4,0.05,,17.0,2008-01-07-C-31JD,3208,-12064,90.0,70.0,90.0,70.0,0.07,0.0,0.16,0.13,0.74,1.11
31674,793853,50,13.22,4.5,0.67,0.21,4.1,0.24,,15.0,2008-01-07-C-31JD,3208,-12064,90.0,70.0,90.0,70.0,0.0,0.0,0.18,0.12,0.15,0.45
31676,793910,9,14.74,1.8,0.32,0.01,0.3,0.01,,20.0,2008-01-07-C-31JD,3141,-12198,90.0,90.0,90.0,90.0,0.04,0.0,0.3,0.24,1.22,1.79
31676,793915,49,13.67,2.6,0.44,0.04,1.8,0.04,,16.0,2008-01-07-C-31JD,3141,-12198,90.0,90.0,90.0,90.0,0.0,0.0,0.01,0.04,0.02,0.07
31676,793920,85,12.59,5.5,0.71,0.16,6.6,0.04,,13.0,2008-01-07-C-31JD,3141,-12198,90.0,90.0,90.0,90.0,0.07,0.0,0.08,0.06,0.13,0.34
